epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.2968,1.15636,3.40295,1.12295,0.75323,0.1605,0.32835,0.23808,0.95083,2.7788,1.06089,0.00018348,0.00018348,0.00018348
2,54.1068,0.93562,1.64162,1.03544,0.78298,0.42456,0.4834,0.37769,0.83945,1.21365,0.97964,0.000368653,0.000368653,0.000368653
3,79.3737,0.8503,1.24195,0.99076,0.78614,0.60936,0.67002,0.53692,0.75954,0.99051,0.96211,0.000553185,0.000553185,0.000553185
4,104.507,0.78551,1.06808,0.96334,0.80798,0.62829,0.68003,0.55512,0.70804,0.9642,0.93684,0.00055383,0.00055383,0.00055383
5,129.629,0.75306,1.00117,0.94758,0.82092,0.68305,0.73352,0.60829,0.68566,0.86527,0.92104,0.000552146,0.000552146,0.000552146
6,154.805,0.7405,0.96056,0.93903,0.70419,0.75975,0.77235,0.65344,0.63859,0.81407,0.89982,0.000549986,0.000549986,0.000549986
7,180.4,0.70913,0.91305,0.92968,0.74549,0.78891,0.80531,0.68096,0.60906,0.81235,0.89405,0.000547353,0.000547353,0.000547353
8,206.089,0.68963,0.87479,0.91972,0.81284,0.76504,0.8157,0.6932,0.618,0.76891,0.88445,0.000544253,0.000544253,0.000544253
9,231.27,0.68234,0.84441,0.91311,0.83244,0.73075,0.79932,0.68019,0.63184,0.9115,0.88901,0.000540691,0.000540691,0.000540691
10,256.551,0.64943,0.81155,0.90759,0.84356,0.77885,0.85778,0.73597,0.57651,0.74207,0.86951,0.000536673,0.000536673,0.000536673
11,282.162,0.6552,0.80808,0.90499,0.83963,0.79524,0.84433,0.72689,0.58258,0.71864,0.87239,0.000532206,0.000532206,0.000532206
12,307.413,0.64081,0.78014,0.89963,0.82249,0.79604,0.84044,0.71905,0.59537,0.78069,0.87139,0.000527298,0.000527298,0.000527298
13,332.623,0.6416,0.77111,0.9028,0.84091,0.78844,0.85552,0.74071,0.55881,0.6861,0.86415,0.000521957,0.000521957,0.000521957
14,357.692,0.62873,0.75769,0.89547,0.77644,0.82496,0.83712,0.71701,0.59016,0.72128,0.86726,0.000516193,0.000516193,0.000516193
15,383.856,0.63368,0.72361,0.89687,0.82018,0.78638,0.8553,0.7592,0.52123,0.66239,0.85103,0.000510017,0.000510017,0.000510017
16,409.062,0.59683,0.69907,0.88699,0.86718,0.80836,0.86641,0.74722,0.56188,0.6611,0.85677,0.000503438,0.000503438,0.000503438
17,435.276,0.60792,0.70509,0.88832,0.83759,0.83225,0.87534,0.76545,0.54807,0.62983,0.8525,0.000496468,0.000496468,0.000496468
18,460.329,0.59897,0.70003,0.88621,0.81189,0.81294,0.8615,0.76555,0.52078,0.62406,0.84903,0.00048912,0.00048912,0.00048912
19,486.009,0.58987,0.68137,0.88342,0.85721,0.84703,0.88531,0.78269,0.54909,0.60979,0.85474,0.000481407,0.000481407,0.000481407
20,511.059,0.58476,0.66233,0.87983,0.81836,0.82961,0.87861,0.77018,0.51553,0.59949,0.84626,0.000473341,0.000473341,0.000473341
21,536.121,0.5769,0.65898,0.87667,0.84202,0.84424,0.88165,0.78058,0.51176,0.588,0.84283,0.000464938,0.000464938,0.000464938
22,561.009,0.5722,0.64673,0.87419,0.8101,0.86351,0.8866,0.78456,0.50702,0.59298,0.84036,0.000456212,0.000456212,0.000456212
23,586.16,0.57454,0.63569,0.87114,0.79737,0.83817,0.87616,0.78406,0.50846,0.5813,0.84216,0.000447178,0.000447178,0.000447178
24,611.674,0.55673,0.61704,0.8741,0.83579,0.81957,0.87574,0.78331,0.49239,0.58886,0.84084,0.000437852,0.000437852,0.000437852
25,637.654,0.56202,0.6186,0.87236,0.83853,0.83239,0.89364,0.80191,0.49005,0.5637,0.83503,0.00042825,0.00042825,0.00042825
26,663.98,0.54726,0.60266,0.87105,0.79098,0.82484,0.87315,0.77337,0.51699,0.5827,0.85028,0.00041839,0.00041839,0.00041839
27,689.424,0.55524,0.59969,0.86969,0.83529,0.84475,0.87606,0.78629,0.48626,0.5654,0.83767,0.000408288,0.000408288,0.000408288
28,714.444,0.54798,0.59789,0.86849,0.84378,0.83132,0.88199,0.78704,0.50766,0.57939,0.83867,0.000397963,0.000397963,0.000397963
29,739.288,0.54683,0.59177,0.86649,0.84548,0.84476,0.89178,0.80408,0.48092,0.54427,0.83481,0.000387432,0.000387432,0.000387432
30,764.021,0.53887,0.57409,0.86382,0.80234,0.84341,0.88415,0.79617,0.47531,0.54376,0.83081,0.000376714,0.000376714,0.000376714
31,788.766,0.53499,0.56999,0.86286,0.83181,0.86277,0.88933,0.79583,0.50035,0.55066,0.8355,0.000365828,0.000365828,0.000365828
32,813.409,0.52725,0.56685,0.86211,0.83142,0.82621,0.87859,0.78826,0.47512,0.54905,0.83686,0.000354792,0.000354792,0.000354792
33,838.4,0.53635,0.57349,0.86612,0.82621,0.82652,0.87803,0.79257,0.47561,0.54474,0.83662,0.000343627,0.000343627,0.000343627
34,863.273,0.52494,0.55556,0.86318,0.8071,0.84698,0.87206,0.7837,0.48487,0.54622,0.83463,0.000332351,0.000332351,0.000332351
35,888.27,0.52163,0.55128,0.86439,0.83358,0.84251,0.88372,0.79743,0.47909,0.54588,0.83281,0.000320985,0.000320985,0.000320985
36,914.033,0.53061,0.55589,0.86149,0.83786,0.8595,0.88085,0.79895,0.46129,0.52385,0.8302,0.000309548,0.000309548,0.000309548
37,939.719,0.51662,0.53647,0.85848,0.85313,0.87551,0.89047,0.81255,0.46389,0.5117,0.83042,0.000298061,0.000298061,0.000298061
38,964.683,0.5104,0.53478,0.86002,0.84714,0.84063,0.88896,0.80887,0.45356,0.51343,0.82806,0.000286544,0.000286544,0.000286544
39,989.904,0.51265,0.52625,0.85743,0.83787,0.87786,0.89579,0.81265,0.45725,0.50882,0.82777,0.000275016,0.000275016,0.000275016
40,1015.34,0.50668,0.52293,0.85824,0.84745,0.86562,0.89387,0.81559,0.45924,0.51026,0.82661,0.000263499,0.000263499,0.000263499
41,1040.79,0.49839,0.52568,0.85479,0.85842,0.87009,0.89845,0.81663,0.45909,0.51733,0.83209,0.000252012,0.000252012,0.000252012
42,1065.75,0.50371,0.51573,0.85566,0.82993,0.86286,0.89412,0.81711,0.45615,0.51257,0.8293,0.000240575,0.000240575,0.000240575
